Comando mas usados
Comando	Descripción
lsblk	Lista los dispositivos de bloques y las particiones en el sistema
lsblk -f more info
fdisk	Herramienta para administrar particiones de disco
parted	Herramienta para crear y administrar particiones de disco
mkfs	Formatea una partición con un sistema de archivos
mount	Monta un sistema de archivos en una partición o un directorio
umount	Desmonta un sistema de archivos
df	Muestra el espacio libre y utilizado en las particiones montadas
df -Th muestra con bytes
du	Muestra el tamaño de un archivo o directorio
resize2fs	Ajusta el tamaño de un sistema de archivos ext2, ext3 o ext4
lvcreate	Crea un volumen lógico en un grupo de volúmenes LVM
lvextend	Amplía el tamaño de un volumen lógico
lvresize	Ajusta el tamaño de un volumen lógico
lvremove	Elimina un volumen lógico
vgcreate	Crea un grupo de volúmenes LVM
vgextend	Amplía un grupo de volúmenes LVM
vgreduce	Reduce un grupo de volúmenes LVM
pvcreate	Crea un volumen físico LVM en una partición o dispositivo
pvextend	Amplía un volumen físico LVM
pvresize	Ajusta el tamaño de un volumen físico LVM
pvremove	Elimina un volumen físico LVM
